Dehmel, Richard	http://d-nb.info/gnd/118679236, http://d-nb.info/gnd/129717061, http://d-nb.info/gnd/1034714317, http://d-nb.info/gnd/1037765877
Grob, Rudolf	http://d-nb.info/gnd/101910096, http://d-nb.info/gnd/173334431
Tabouis, Geneviéve	
Grimm, Alfred Max	http://d-nb.info/gnd/110403452
Wilson, Edwina H.	http://d-nb.info/gnd/127330569, http://d-nb.info/gnd/173169252
Wolf, Julius	http://d-nb.info/gnd/100803377, http://d-nb.info/gnd/101269307, http://d-nb.info/gnd/117445029, http://d-nb.info/gnd/118088602, http://d-nb.info/gnd/118770004, http://d-nb.info/gnd/1018255788
Maurer, Adolf	http://d-nb.info/gnd/10551473X, http://d-nb.info/gnd/11873203X
Heinz, Karl	http://d-nb.info/gnd/104762772, http://d-nb.info/gnd/105796425, http://d-nb.info/gnd/11854862X, http://d-nb.info/gnd/130222380, http://d-nb.info/gnd/133266141, http://d-nb.info/gnd/140418504, http://d-nb.info/gnd/1034286838, http://d-nb.info/gnd/1036674436
Branden, Egon	http://d-nb.info/gnd/12622871X
Friedlaender, Salomo	http://d-nb.info/gnd/118586076, http://d-nb.info/gnd/186799667
Kratzel, Robert	http://d-nb.info/gnd/126525161, http://d-nb.info/gnd/181875748
Kahn, Ernst	http://d-nb.info/gnd/117575933, http://d-nb.info/gnd/159754070, http://d-nb.info/gnd/1027285198
Georg, Manfred	http://d-nb.info/gnd/121978281, http://d-nb.info/gnd/175633517
Laros, Matthias	http://d-nb.info/gnd/119418266, http://d-nb.info/gnd/176386521, http://d-nb.info/gnd/181658801, http://d-nb.info/gnd/18165881X
Wolf, Erich Hans	http://d-nb.info/gnd/127351663, http://d-nb.info/gnd/178049794
Bau, Karl	http://d-nb.info/gnd/126005028
Wallisch, Koloman	http://d-nb.info/gnd/11862881X
Heine, Thomas Theodor	http://d-nb.info/gnd/118548034, http://d-nb.info/gnd/182000974, http://d-nb.info/gnd/185751962
Pudor, Heinrich	http://d-nb.info/gnd/11630734X, http://d-nb.info/gnd/177043520, http://d-nb.info/gnd/182385620
Poukar, Raimund	http://d-nb.info/gnd/126665125
Tretjakow, Sergej Michajlovi??	
Jacobson, Ludwig Harter	
Papoušek, Jaroslav	
Salgari, Emilio	http://d-nb.info/gnd/119039370, http://d-nb.info/gnd/1028476116
Butler, Hiram E.	http://d-nb.info/gnd/127439471
Schreiner, Gerth	http://d-nb.info/gnd/101920334, http://d-nb.info/gnd/18949705X
Inber, Vera	http://d-nb.info/gnd/118708848, http://d-nb.info/gnd/157592219, http://d-nb.info/gnd/186342624
Heine, Wolfgang	http://d-nb.info/gnd/10107798X, http://d-nb.info/gnd/116659491, http://d-nb.info/gnd/122511476, http://d-nb.info/gnd/123020972, http://d-nb.info/gnd/124825389, http://d-nb.info/gnd/131842773, http://d-nb.info/gnd/170711641
