Schneider, Josef	http://d-nb.info/gnd/11682932X, http://d-nb.info/gnd/116829443, http://d-nb.info/gnd/117760080, http://d-nb.info/gnd/118609572, http://d-nb.info/gnd/120741458, http://d-nb.info/gnd/120842246, http://d-nb.info/gnd/123414741, http://d-nb.info/gnd/124952909, http://d-nb.info/gnd/12500155X, http://d-nb.info/gnd/130377589, http://d-nb.info/gnd/131900692, http://d-nb.info/gnd/13292286X, http://d-nb.info/gnd/133273458, http://d-nb.info/gnd/133738574, http://d-nb.info/gnd/135883431, http://d-nb.info/gnd/136095542, http://d-nb.info/gnd/137262434, http://d-nb.info/gnd/138919518, http://d-nb.info/gnd/139672702, http://d-nb.info/gnd/173757111, http://d-nb.info/gnd/189361468, http://d-nb.info/gnd/1012412490, http://d-nb.info/gnd/1031579249, http://d-nb.info/gnd/1031580271, http://d-nb.info/gnd/1031581243, http://d-nb.info/gnd/1037078667, http://d-nb.info/gnd/1045245917
Verworn, Max	http://d-nb.info/gnd/117390828
Pfeiffer, Max	http://d-nb.info/gnd/116163771, http://d-nb.info/gnd/116163798, http://d-nb.info/gnd/140129316, http://d-nb.info/gnd/1045802131
Rentner, Edbert	http://d-nb.info/gnd/12681676X, http://d-nb.info/gnd/12681676X
Drechsler, Hermann	http://d-nb.info/gnd/116197013
Landsberger, Artur	http://d-nb.info/gnd/116681691
Sommer, Walter	http://d-nb.info/gnd/119176483, http://d-nb.info/gnd/130527483, http://d-nb.info/gnd/138618356, http://d-nb.info/gnd/174274165, http://d-nb.info/gnd/1027580254
Hug, Charles	http://d-nb.info/gnd/118554549
Wassermann, Jakob	http://d-nb.info/gnd/118629387
Stepun, Fedor	http://d-nb.info/gnd/11875355X
Duwe, Willi	http://d-nb.info/gnd/116259221
Unger, Wilhelm	http://d-nb.info/gnd/117293652, http://d-nb.info/gnd/117293687, http://d-nb.info/gnd/136249582, http://d-nb.info/gnd/189501782, http://d-nb.info/gnd/1011817578
Gold, Michael	http://d-nb.info/gnd/119089548, http://d-nb.info/gnd/120021382, http://d-nb.info/gnd/13323004X, http://d-nb.info/gnd/139521011, http://d-nb.info/gnd/170423018, http://d-nb.info/gnd/173677169
Blache, Robert	http://d-nb.info/gnd/126206783
Merkenschlager, Friedrich	http://d-nb.info/gnd/116903554
Falk, Kurt	http://d-nb.info/gnd/116539089, http://d-nb.info/gnd/13292353X
Seelhoff, Paul	http://d-nb.info/gnd/1046758799
Kurz, Walter	http://d-nb.info/gnd/130216151
Heinrich, Kurt	http://d-nb.info/gnd/115667571, http://d-nb.info/gnd/138155488, http://d-nb.info/gnd/189532092, http://d-nb.info/gnd/1022026968, http://d-nb.info/gnd/1028430310, http://d-nb.info/gnd/1038671299
